transaction_id,player_id,venue,transaction_date,meal_period,items_count,subtotal,tax,total,payment_type,comp_value,tip_amount,party_size,satisfaction_score
FNB-00000001,PLY-000456,Sports Grill,2024-09-23,DINNER,6,133.25,11.39,144.64,PLAYER_CARD,0,0,3,4
FNB-00000002,,The Steakhouse,2023-01-12,LUNCH,4,131.19,8.51,139.7,DEBIT,0,23.85,7,2
FNB-00000003,PLY-000047,Pool Bar,2024-08-08,DINNER,3,56.65,4.29,60.94,COMP,37.51,13.92,4,2
FNB-00000004,PLY-000049,The Steakhouse,2024-07-18,LUNCH,4,100.09,7.47,107.56,COMP,63.78,18.31,6,4
FNB-00000005,PLY-000480,VIP Dining Room,2023-08-07,DINNER,2,186.03,13.92,199.95,CREDIT,0,0,3,4
FNB-00000006,PLY-000307,Sports Grill,2024-04-07,LATE_NIGHT,8,142.08,9.66,151.74,COMP,118.47,0,3,
FNB-00000007,PLY-000383,Pool Bar,2023-01-08,LATE_NIGHT,2,36.7,2.89,39.59,CREDIT,0,0,5,4
FNB-00000008,PLY-000446,VIP Dining Room,2025-03-06,LATE_NIGHT,6,265.04,21.86,286.9,CREDIT,0,40.29,7,4
FNB-00000009,,Pool Bar,2025-04-20,LATE_NIGHT,1,11.21,0.84,12.05,COMP,9.05,1.71,5,
FNB-00000010,PLY-000296,The Steakhouse,2025-01-02,DINNER,1,52.45,4.02,56.47,DEBIT,0,8.42,7,1
FNB-00000011,PLY-000027,Pool Bar,2025-07-07,DINNER,1,13.59,0.95,14.54,CASH,0,2.46,8,
FNB-00000012,PLY-000358,Pool Bar,2023-09-22,LATE_NIGHT,7,83.39,5.62,89.01,COMP,64.67,18.76,8,3
FNB-00000013,PLY-000332,Deli Express,2023-09-04,LUNCH,8,69.23,4.57,73.8,CREDIT,0,0,3,5
FNB-00000014,PLY-000206,Buffet Palace,2025-02-28,LATE_NIGHT,1,15.18,1.37,16.55,CASH,0,2.88,3,4
FNB-00000015,,Deli Express,2024-10-09,LUNCH,5,77.83,7.19,85.02,SPLIT,0,12.48,6,
FNB-00000016,PLY-000327,The Steakhouse,2023-03-09,LUNCH,3,120.83,9.13,129.96,PLAYER_CARD,0,29.31,8,
FNB-00000017,PLY-000061,VIP Dining Room,2025-01-03,DINNER,4,207.78,15.97,223.75,COMP,148.15,32.73,6,5
FNB-00000018,,Asian Fusion,2024-06-13,BREAKFAST,8,224.0,16.26,240.26,PLAYER_CARD,0,0,7,
FNB-00000019,PLY-000094,Sports Grill,2025-10-28,LATE_NIGHT,6,65.55,4.7,70.25,CREDIT,0,10.63,6,5
FNB-00000020,PLY-000152,Buffet Palace,2023-03-12,DINNER,8,228.04,15.73,243.77,CREDIT,0,51.62,8,
FNB-00000021,PLY-000356,Asian Fusion,2024-08-01,LATE_NIGHT,3,101.22,7.28,108.5,PLAYER_CARD,0,16.98,3,4
FNB-00000022,PLY-000346,Pool Bar,2025-07-28,LATE_NIGHT,1,11.01,1.01,12.02,SPLIT,0,0,2,4
FNB-00000023,PLY-000280,Sports Grill,2025-01-12,DINNER,2,31.23,2.95,34.18,DEBIT,0,7.27,3,5
FNB-00000024,PLY-000255,Pool Bar,2024-12-14,LUNCH,2,29.09,1.95,31.04,SPLIT,0,6.97,1,4
FNB-00000025,PLY-000066,Coffee Bar,2025-10-06,BREAKFAST,4,31.0,2.22,33.22,CASH,0,6.25,2,5
FNB-00000026,PLY-000351,Sports Grill,2024-10-20,LATE_NIGHT,8,171.79,15.22,187.01,COMP,174.39,27.78,5,4
FNB-00000027,,VIP Dining Room,2025-01-21,DINNER,3,320.58,20.3,340.88,DEBIT,0,75.7,2,
FNB-00000028,PLY-000120,VIP Dining Room,2025-05-04,LUNCH,4,426.03,31.83,457.86,CASH,0,91.25,8,4
FNB-00000029,,VIP Dining Room,2025-06-18,LATE_NIGHT,8,509.89,37.4,547.29,PLAYER_CARD,0,78.3,2,4
FNB-00000030,PLY-000035,Sports Grill,2025-06-23,BREAKFAST,5,65.55,5.59,71.14,PLAYER_CARD,0,12.16,5,3
FNB-00000031,,Coffee Bar,2025-03-16,DINNER,7,61.17,5.69,66.86,CREDIT,0,10.7,8,2
FNB-00000032,PLY-000491,Sports Grill,2023-12-26,LUNCH,1,9.32,0.78,10.1,DEBIT,0,0,4,4
FNB-00000033,PLY-000097,Sports Grill,2023-02-06,BREAKFAST,6,59.77,3.99,63.76,DEBIT,0,0,2,
FNB-00000034,PLY-000249,Asian Fusion,2025-03-27,BRUNCH,4,144.05,9.24,153.29,CREDIT,0,35.46,1,2
FNB-00000035,PLY-000471,Deli Express,2024-06-07,LUNCH,2,30.16,1.81,31.97,DEBIT,0,7.38,8,
FNB-00000036,PLY-000386,Coffee Bar,2023-12-10,DINNER,1,10.51,0.72,11.23,CREDIT,0,2.37,2,5
FNB-00000037,PLY-000007,Sports Grill,2025-02-24,LUNCH,7,185.96,11.55,197.51,COMP,158.88,0,5,
FNB-00000038,PLY-000189,Sports Grill,2025-05-07,BREAKFAST,2,39.81,3.74,43.55,COMP,23.21,6.28,2,3
FNB-00000039,PLY-000059,Deli Express,2025-03-04,DINNER,1,16.92,1.41,18.33,COMP,12.35,3.35,5,
FNB-00000040,,Sports Grill,2023-07-28,BRUNCH,4,44.17,3.97,48.14,COMP,32.39,9.54,2,3
FNB-00000041,PLY-000461,Asian Fusion,2025-12-09,LATE_NIGHT,5,190.83,13.96,204.79,COMP,116.66,42.82,6,
FNB-00000042,PLY-000244,Asian Fusion,2025-02-02,LUNCH,6,186.5,16.05,202.55,COMP,109.79,0,1,
FNB-00000043,PLY-000059,Asian Fusion,2023-07-11,LATE_NIGHT,3,60.74,4.7,65.44,COMP,60.26,0,3,5
FNB-00000044,PLY-000459,Pool Bar,2024-03-27,DINNER,1,15.37,1.46,16.83,CREDIT,0,0,3,5
FNB-00000045,PLY-000298,Pool Bar,2023-09-17,LUNCH,7,132.44,12.5,144.94,SPLIT,0,0,1,4
FNB-00000046,PLY-000112,Coffee Bar,2024-06-04,LUNCH,3,22.11,1.42,23.53,SPLIT,0,0,4,5
