product_id,product_name,category,subcategory,list_price,cost_price
P00001,Phones Product 1,Electronics,Phones,2148.14,867.17
P00002,TVs Product 2,Electronics,TVs,916.3,619.48
P00003,Kitchen Product 3,Home,Kitchen,1386.63,934.84
P00004,Supplies Product 4,Office,Supplies,811.29,425.83
P00005,Kids Product 5,Apparel,Kids,2066.73,1181.06
P00006,Cameras Product 6,Electronics,Cameras,1686.58,701.28
P00007,Outdoor Product 7,Home,Outdoor,2453.72,1683.8
P00008,TVs Product 8,Electronics,TVs,2166.42,1369.3
P00009,Kids Product 9,Apparel,Kids,225.1,120.88
P00010,Womens Product 10,Apparel,Womens,736.07,467.66
P00011,Fitness Product 11,Sports,Fitness,1165.18,672.9
P00012,Supplies Product 12,Office,Supplies,1833.83,1034.22
P00013,Bedding Product 13,Home,Bedding,25.88,13.54
P00014,Outdoor Product 14,Home,Outdoor,872.6,568.82
P00015,Audio Product 15,Electronics,Audio,13.64,8.15
P00016,Mens Product 16,Apparel,Mens,520.93,362.01
P00017,Tech Product 17,Office,Tech,2403.35,1662.56
P00018,Decor Product 18,Home,Decor,241.64,163.44
P00019,Water Product 19,Sports,Water,1755.11,898.17
P00020,Cameras Product 20,Electronics,Cameras,247.99,109.13
P00021,Furniture Product 21,Office,Furniture,1483.82,621.25
P00022,Bedding Product 22,Home,Bedding,736.27,482.46
P00023,Storage Product 23,Office,Storage,801.96,386.21
P00024,Laptops Product 24,Electronics,Laptops,348.92,220.18
P00025,Laptops Product 25,Electronics,Laptops,273.09,146.07
P00026,Shoes Product 26,Apparel,Shoes,310.63,157.64
P00027,Tools Product 27,Home,Tools,777.69,372.9
P00028,Phones Product 28,Electronics,Phones,402.46,243.82
P00029,Outdoor Product 29,Sports,Outdoor,545.4,358.31
P00030,Kitchen Product 30,Home,Kitchen,1780.78,1229.66
P00031,Paper Product 31,Office,Paper,131.89,64.58
P00032,Kitchen Product 32,Home,Kitchen,2380.72,1562.66
P00033,Winter Product 33,Sports,Winter,632.13,340.47
P00034,Kitchen Product 34,Home,Kitchen,39.77,25.82
P00035,Bedding Product 35,Home,Bedding,503.35,261.83
P00036,Cameras Product 36,Electronics,Cameras,1469.44,992.21
P00037,Phones Product 37,Electronics,Phones,2492.93,1145.07
P00038,Supplies Product 38,Office,Supplies,239.03,156.37
P00039,Mens Product 39,Apparel,Mens,116.31,62.61
P00040,Outdoor Product 40,Home,Outdoor,1088.56,672.0
P00041,Furniture Product 41,Office,Furniture,963.0,508.46
P00042,Womens Product 42,Apparel,Womens,2271.68,1096.07
P00043,Supplies Product 43,Office,Supplies,96.28,56.4
P00044,Decor Product 44,Home,Decor,1252.24,832.53
P00045,Furniture Product 45,Office,Furniture,228.43,117.62
P00046,Supplies Product 46,Office,Supplies,1610.2,1029.17
P00047,Outdoor Product 47,Home,Outdoor,1989.17,1386.1
P00048,Shoes Product 48,Apparel,Shoes,1365.85,744.94
P00049,Winter Product 49,Sports,Winter,810.8,390.1
P00050,Audio Product 50,Electronics,Audio,1496.82,611.89
P00051,Mens Product 51,Apparel,Mens,2023.55,1095.76
P00052,Accessories Product 52,Apparel,Accessories,2499.02,1729.81
P00053,Laptops Product 53,Electronics,Laptops,1645.59,789.81
P00054,Laptops Product 54,Electronics,Laptops,1443.47,1002.92
P00055,Storage Product 55,Office,Storage,2338.66,1631.13
P00056,Bedding Product 56,Home,Bedding,599.01,296.75
P00057,Accessories Product 57,Apparel,Accessories,80.23,48.95
P00058,Winter Product 58,Sports,Winter,363.83,249.05
P00059,Paper Product 59,Office,Paper,779.54,426.51
P00060,Phones Product 60,Electronics,Phones,589.23,274.37
P00061,Water Product 61,Sports,Water,11.7,7.9
P00062,Bedding Product 62,Home,Bedding,858.49,389.1
P00063,Mens Product 63,Apparel,Mens,64.56,37.19
P00064,Kitchen Product 64,Home,Kitchen,2117.74,1393.9
P00065,Audio Product 65,Electronics,Audio,1764.3,1056.18
P00066,Outdoor Product 66,Sports,Outdoor,848.04,421.29
P00067,Tools Product 67,Home,Tools,1981.69,1363.8
P00068,Womens Product 68,Apparel,Womens,1770.89,1006.92
P00069,Team Product 69,Sports,Team,565.86,326.32
P00070,Tools Product 70,Home,Tools,773.99,469.46
P00071,Bedding Product 71,Home,Bedding,1824.79,1249.32
P00072,Water Product 72,Sports,Water,2128.38,1343.54
P00073,Outdoor Product 73,Sports,Outdoor,463.38,229.59
P00074,Fitness Product 74,Sports,Fitness,1602.72,691.15
P00075,Supplies Product 75,Office,Supplies,834.61,353.33
P00076,Kids Product 76,Apparel,Kids,428.04,284.9
P00077,Audio Product 77,Electronics,Audio,1122.11,538.12
P00078,Kitchen Product 78,Home,Kitchen,882.7,561.49
P00079,Phones Product 79,Electronics,Phones,970.98,601.79
P00080,Tools Product 80,Home,Tools,1237.77,635.74
P00081,Water Product 81,Sports,Water,262.56,142.79
P00082,Fitness Product 82,Sports,Fitness,415.01,175.18
P00083,Audio Product 83,Electronics,Audio,59.99,28.7
P00084,Phones Product 84,Electronics,Phones,861.1,573.82
P00085,Kitchen Product 85,Home,Kitchen,1372.15,918.57
P00086,Audio Product 86,Electronics,Audio,1489.14,869.8
P00087,Furniture Product 87,Office,Furniture,1084.0,646.16
P00088,Water Product 88,Sports,Water,401.19,172.66
P00089,Bedding Product 89,Home,Bedding,1029.11,582.72
