review_id,fiscal_year,transaction_id,acquiring_party,target_party,transaction_value,industry_sector,review_outcome,hhi_pre_merger,hhi_post_merger,hhi_delta,market_definition,review_start_date,review_end_date,_ingested_at
1,2023,TX001,MegaCorp Industries,TechStart LLC,150000000,TECHNOLOGY,APPROVED,1800,1950,150,Software Development Services,2023-01-15,2023-02-14,2025-01-15T10:15:30
2,2023,TX002,HealthSystem Partners,Regional Medical Group,85000000,HEALTHCARE,SECOND_REQUEST,2200,2650,450,Regional Hospital Services,2023-02-08,2023-08-07,2025-01-16T14:22:11
3,2023,TX003,Energy Dynamics Corp,Solar Solutions Inc,320000000,ENERGY,APPROVED,1600,1720,120,Solar Energy Generation,2023-03-12,2023-04-06,2025-01-17T09:45:22
4,2023,TX004,Global Pharmaceuticals,BioTech Innovations,2100000000,PHARMACEUTICALS,CHALLENGED,2400,3200,800,Specialty Drug Development,2023-04-20,2024-04-19,2025-01-18T16:33:45
5,2023,TX005,Financial Holdings LLC,Community Bank Corp,67000000,FINANCIAL_SERVICES,APPROVED,1950,2100,150,Community Banking Services,2023-05-18,2023-06-15,2025-01-19T11:18:56
6,2023,TX006,AgriCorp International,Local Farm Co-op,45000000,AGRICULTURE,APPROVED,1750,1850,100,Agricultural Processing,2023-06-25,2023-07-17,2025-01-20T13:40:33
7,2023,TX007,Manufacturing Giant,Industrial Parts Inc,180000000,MANUFACTURING,SECOND_REQUEST,2100,2580,480,Industrial Components Manufacturing,2023-07-30,2023-11-28,2025-01-21T08:55:17
8,2023,TX008,Transport Holdings,Regional Logistics,95000000,TRANSPORTATION,APPROVED,1850,2000,150,Regional Freight Transportation,2023-08-15,2023-09-19,2025-01-22T15:27:44
9,2023,TX009,Real Estate Development,Property Management Group,76000000,REAL_ESTATE,ABANDONED,1900,2200,300,Commercial Property Management,2023-09-22,2023-11-06,2025-01-23T12:08:29
10,2024,TX010,RetailChain Corp,E-commerce Startup,890000000,RETAIL,CONSENT_DECREE,2300,2750,450,Online Retail Platform,2024-01-10,2024-08-07,2025-01-24T17:41:58
11,2024,TX011,Defense Contractor Inc,Aerospace Components Ltd,340000000,DEFENSE,APPROVED,1700,1820,120,Aerospace Component Manufacturing,2024-02-18,2024-03-20,2025-01-25T14:33:21
12,2024,TX012,TeleCommunications Corp,Wireless Provider Inc,1200000000,TELECOMMUNICATIONS,SECOND_REQUEST,2450,2950,500,Wireless Telecommunications Services,2024-03-25,2024-10-22,2025-01-26T10:22:15
13,2024,TX013,Chemical Industries,Specialty Materials Co,155000000,MANUFACTURING,APPROVED,1650,1780,130,Specialty Chemical Manufacturing,2024-04-12,2024-05-09,2025-01-27T16:19:42
14,2024,TX014,Media Conglomerate,Streaming Platform Inc,675000000,TECHNOLOGY,RESTRUCTURED,2200,2800,600,Digital Streaming Services,2024-05-20,2024-11-17,2025-01-28T11:45:33
15,2024,TX015,Insurance Holdings,Regional Insurance Co,98000000,FINANCIAL_SERVICES,APPROVED,1800,1950,150,Regional Insurance Services,2024-06-14,2024-07-17,2025-01-29T13:52:17
16,2010,TX016,TechGiant Corp,StartupSoft Inc,120000000,TECHNOLOGY,APPROVED,1750,1880,130,Enterprise Software Solutions,2010-02-14,2010-03-16,2025-01-30T09:33:22
17,2010,TX017,HealthSystem Inc,Rural Clinic Network,58000000,HEALTHCARE,APPROVED,1900,2050,150,Rural Healthcare Services,2010-04-08,2010-05-13,2025-01-31T11:47:15
18,2010,TX018,Oil & Gas Corp,Shale Exploration LLC,780000000,ENERGY,SECOND_REQUEST,2200,2650,450,Natural Gas Extraction,2010-06-22,2010-11-19,2025-02-01T15:18:44
19,2010,TX019,PharmaCorp Holdings,Research Labs Inc,2800000000,PHARMACEUTICALS,CHALLENGED,2500,3300,800,Pharmaceutical Research and Development,2010-08-15,2011-06-12,2025-02-02T13:29:57
20,2010,TX020,Banking Consortium,Local Credit Union,42000000,FINANCIAL_SERVICES,APPROVED,1650,1750,100,Community Banking,2010-10-30,2010-11-27,2025-02-03T10:41:33
21,2011,TX021,AgriTech Systems,Farm Equipment Co,95000000,AGRICULTURE,APPROVED,1800,1930,130,Farm Equipment Manufacturing,2011-01-18,2011-02-18,2025-02-04T14:55:28
22,2011,TX022,Manufacturing Corp,Steel Processing Inc,230000000,MANUFACTURING,APPROVED,2000,2180,180,Steel Processing and Manufacturing,2011-03-24,2011-04-28,2025-02-05T12:22:15
23,2011,TX023,Logistics Networks,Transport Solutions LLC,87000000,TRANSPORTATION,APPROVED,1750,1880,130,Regional Logistics Services,2011-05-16,2011-06-15,2025-02-06T16:44:37
24,2011,TX024,Property Holdings,Commercial Real Estate Corp,65000000,REAL_ESTATE,ABANDONED,1950,2200,250,Commercial Real Estate Brokerage,2011-07-12,2011-09-10,2025-02-07T08:17:29
25,2011,TX025,Retail Conglomerate,Department Store Chain,420000000,RETAIL,APPROVED,2100,2280,180,Department Store Retail,2011-09-28,2011-10-28,2025-02-08T11:35:51
26,2012,TX026,Defense Systems Inc,Military Contractor LLC,155000000,DEFENSE,APPROVED,1650,1780,130,Military Systems Manufacturing,2012-02-05,2012-03-12,2025-02-09T13:48:14
27,2012,TX027,BioPharma Holdings,Generic Drug Manufacturer,1800000000,PHARMACEUTICALS,SECOND_REQUEST,2300,2800,500,Generic Pharmaceutical Manufacturing,2012-04-12,2012-10-10,2025-02-10T15:26:33
28,2012,TX028,Technology Solutions,Software Development Inc,98000000,TECHNOLOGY,APPROVED,1700,1820,120,Business Software Development,2012-06-20,2012-07-20,2025-02-11T09:19:45
29,2012,TX029,Construction Alliance,Building Materials Corp,134000000,MANUFACTURING,APPROVED,1850,1980,130,Building Materials Manufacturing,2012-08-14,2012-09-16,2025-02-12T12:37:28
30,2012,TX030,Healthcare Networks,Physician Practice Group,76000000,HEALTHCARE,APPROVED,1800,1920,120,Physician Practice Management,2012-10-26,2012-11-23,2025-02-13T14:52:17
31,2013,TX031,Telecom Solutions,Cable Provider Inc,890000000,TELECOMMUNICATIONS,CONSENT_DECREE,2400,2900,500,Cable Television Services,2013-01-15,2013-09-12,2025-02-14T16:33:42
32,2013,TX032,Energy Corp,Renewable Power LLC,445000000,ENERGY,APPROVED,1600,1720,120,Renewable Energy Generation,2013-03-22,2013-04-22,2025-02-15T08:44:26
33,2013,TX033,Agricultural Systems,Seed Company Inc,112000000,AGRICULTURE,APPROVED,1750,1870,120,Agricultural Seed Production,2013-05-18,2013-06-18,2025-02-16T11:28:39
34,2013,TX034,Manufacturing Holdings,Industrial Equipment Corp,267000000,MANUFACTURING,APPROVED,1900,2080,180,Industrial Equipment Manufacturing,2013-07-24,2013-08-28,2025-02-17T13:15:52
35,2013,TX035,Transportation Corp,Shipping Services LLC,98000000,TRANSPORTATION,APPROVED,1750,1870,120,Freight Transportation Services,2013-09-30,2013-10-30,2025-02-18T15:41:15
36,2014,TX036,Real Estate Trust,Property Development Inc,189000000,REAL_ESTATE,APPROVED,1850,1980,130,Property Development Services,2014-02-12,2014-03-19,2025-02-19T10:33:48
37,2014,TX037,Retail Systems,Online Marketplace Corp,567000000,RETAIL,APPROVED,2000,2200,200,Online Retail Marketplace,2014-04-18,2014-05-18,2025-02-20T12:27:31
38,2014,TX038,Defense Technologies,Cybersecurity Firm LLC,234000000,DEFENSE,APPROVED,1650,1780,130,Cybersecurity Solutions,2014-06-25,2014-07-30,2025-02-21T14:19:24
39,2014,TX039,Pharmaceutical Alliance,Biotechnology Inc,3200000000,PHARMACEUTICALS,SECOND_REQUEST,2500,3200,700,Biotechnology Research,2014-08-31,2015-03-28,2025-02-22T16:42:17
40,2014,TX040,Tech Innovations,Mobile App Developer,145000000,TECHNOLOGY,APPROVED,1700,1830,130,Mobile Application Development,2014-11-07,2014-12-07,2025-02-23T08:36:52
41,2015,TX041,Construction Group,Infrastructure Corp,198000000,MANUFACTURING,APPROVED,1800,1930,130,Infrastructure Construction,2015-01-20,2015-02-24,2025-02-24T11:54:35
42,2015,TX042,Healthcare Solutions,Medical Device Inc,876000000,HEALTHCARE,APPROVED,2100,2300,200,Medical Device Manufacturing,2015-03-28,2015-04-28,2025-02-25T13:47:28
43,2015,TX043,Telecom Holdings,Wireless Technology LLC,445000000,TELECOMMUNICATIONS,APPROVED,2200,2350,150,Wireless Technology Services,2015-06-14,2015-07-14,2025-02-26T15:23:41
44,2015,TX044,Energy Solutions,Natural Gas Corp,789000000,ENERGY,APPROVED,1900,2080,180,Natural Gas Processing,2015-08-22,2015-09-26,2025-02-27T09:38:17
45,2015,TX045,Agricultural Holdings,Food Processing Inc,234000000,AGRICULTURE,APPROVED,1750,1880,130,Food Processing Services,2015-10-29,2015-11-29,2025-02-28T12:16:43
46,2016,TX046,Manufacturing Corp,Automotive Parts LLC,345000000,MANUFACTURING,APPROVED,1850,1980,130,Automotive Parts Manufacturing,2016-02-15,2016-03-18,2025-03-01T14:52:26
47,2016,TX047,Transportation Holdings,Airline Services Inc,1200000000,TRANSPORTATION,SECOND_REQUEST,2300,2800,500,Airline Transportation Services,2016-04-23,2016-10-20,2025-03-02T16:34:59
48,2016,TX048,Real Estate Group,Hotel Chain Corp,567000000,REAL_ESTATE,APPROVED,1950,2100,150,Hotel and Hospitality Services,2016-06-30,2016-07-30,2025-03-03T08:41:32
49,2016,TX049,Retail Networks,Fashion Retailer Inc,234000000,RETAIL,APPROVED,1800,1930,130,Fashion Retail Services,2016-09-08,2016-10-08,2025-03-04T11:29:45
50,2016,TX050,Defense Corp,Military Systems LLC,445000000,DEFENSE,APPROVED,1700,1850,150,Military Systems Manufacturing,2016-11-15,2016-12-20,2025-03-05T13:48:18
51,2017,TX051,Pharmaceutical Group,Drug Discovery Inc,2100000000,PHARMACEUTICALS,CHALLENGED,2400,3100,700,Drug Discovery and Development,2017-01-22,2017-12-19,2025-03-06T15:27:51
52,2017,TX052,Technology Corp,AI Research LLC,789000000,TECHNOLOGY,APPROVED,1800,1950,150,Artificial Intelligence Research,2017-03-31,2017-04-30,2025-03-07T10:15:24
53,2017,TX053,Construction Alliance,Commercial Builder Inc,167000000,MANUFACTURING,APPROVED,1750,1880,130,Commercial Construction Services,2017-06-08,2017-07-13,2025-03-08T12:33:47
54,2017,TX054,Healthcare Holdings,Laboratory Services Corp,345000000,HEALTHCARE,APPROVED,1850,1980,130,Medical Laboratory Services,2017-08-16,2017-09-16,2025-03-09T14:56:33
55,2017,TX055,Telecom Solutions,Internet Provider Inc,567000000,TELECOMMUNICATIONS,APPROVED,2000,2180,180,Internet Service Provision,2017-10-24,2017-11-24,2025-03-10T16:42:16
56,2018,TX056,Energy Holdings,Oil Refinery Corp,1800000000,ENERGY,SECOND_REQUEST,2300,2750,450,Oil Refining Operations,2018-01-12,2018-08-09,2025-03-11T08:37:29
57,2018,TX057,Agricultural Corp,Livestock Operations Inc,234000000,AGRICULTURE,APPROVED,1700,1830,130,Livestock Operations,2018-03-21,2018-04-21,2025-03-12T11:51:42
58,2018,TX058,Manufacturing Systems,Chemical Production LLC,445000000,MANUFACTURING,APPROVED,1900,2050,150,Chemical Production Operations,2018-05-29,2018-07-02,2025-03-13T13:25:55
59,2018,TX059,Transportation Group,Freight Rail Corp,789000000,TRANSPORTATION,APPROVED,2000,2180,180,Freight Rail Transportation,2018-08-07,2018-09-11,2025-03-14T15:14:38
60,2018,TX060,Real Estate Holdings,Office Buildings Inc,345000000,REAL_ESTATE,APPROVED,1800,1930,130,Commercial Office Real Estate,2018-10-15,2018-11-15,2025-03-15T09:48:21
61,2019,TX061,Retail Corporation,E-commerce Platform LLC,1200000000,RETAIL,CONSENTED,2400,2850,450,E-commerce Platform Services,2019-01-23,2019-10-20,2025-03-16T12:36:44
62,2019,TX062,Defense Solutions,Aerospace Engineering Inc,567000000,DEFENSE,APPROVED,1750,1880,130,Aerospace Engineering Services,2019-04-02,2019-05-02,2025-03-17T14:29:17
63,2019,TX063,Pharmaceutical Holdings,Clinical Research Corp,234000000,PHARMACEUTICALS,APPROVED,1850,1980,130,Clinical Research Services,2019-06-11,2019-07-11,2025-03-18T16:53:30
64,2019,TX064,Technology Alliance,Cloud Services Inc,789000000,TECHNOLOGY,APPROVED,2000,2150,150,Cloud Computing Services,2019-08-19,2019-09-23,2025-03-19T08:42:53
65,2019,TX065,Construction Holdings,Heavy Equipment Corp,345000000,MANUFACTURING,APPROVED,1700,1850,150,Heavy Equipment Manufacturing,2019-10-27,2019-12-01,2025-03-20T11:17:26
66,2020,TX066,Healthcare Corporation,Telemedicine Platform Inc,567000000,HEALTHCARE,APPROVED,1950,2100,150,Telemedicine Platform Services,2020-02-04,2020-03-05,2025-03-21T13:58:49
67,2020,TX067,Telecom Group,5G Network LLC,1800000000,TELECOMMUNICATIONS,SECOND_REQUEST,2500,2950,450,5G Network Infrastructure,2020-04-14,2020-11-11,2025-03-22T15:34:12
68,2020,TX068,Energy Corporation,Wind Farm Inc,445000000,ENERGY,APPROVED,1600,1750,150,Wind Energy Generation,2020-06-22,2020-07-22,2025-03-23T10:27:35
69,2020,TX069,Agricultural Holdings,Organic Foods Corp,234000000,AGRICULTURE,APPROVED,1800,1930,130,Organic Food Production,2020-08-30,2020-10-04,2025-03-24T12:45:58
70,2020,TX070,Manufacturing Group,Robotics Systems LLC,789000000,MANUFACTURING,APPROVED,1950,2130,180,Robotics Systems Manufacturing,2020-11-08,2020-12-13,2025-03-25T14:38:21
71,2021,TX071,Transportation Holdings,Electric Vehicle Inc,1200000000,TRANSPORTATION,SECOND_REQUEST,2200,2700,500,Electric Vehicle Manufacturing,2021-01-16,2021-07-15,2025-03-26T16:52:44
72,2021,TX072,Real Estate Corp,Data Center Properties LLC,567000000,REAL_ESTATE,APPROVED,1750,1900,150,Data Center Real Estate,2021-03-26,2021-04-26,2025-03-27T08:46:17
73,2021,TX073,Retail Holdings,Digital Marketplace Inc,345000000,RETAIL,APPROVED,1850,1980,130,Digital Marketplace Services,2021-06-05,2021-07-05,2025-03-28T11:33:50
74,2021,TX074,Defense Technologies,Satellite Systems Corp,789000000,DEFENSE,APPROVED,1900,2050,150,Satellite Systems Technology,2021-08-14,2021-09-18,2025-03-29T13:27:23
75,2021,TX075,Pharmaceutical Corp,Gene Therapy Inc,2800000000,PHARMACEUTICALS,CHALLENGED,2600,3400,800,Gene Therapy Development,2021-10-23,2022-09-20,2025-03-30T15:41:46
76,2022,TX076,Technology Holdings,Quantum Computing LLC,1800000000,TECHNOLOGY,SECOND_REQUEST,2300,2750,450,Quantum Computing Technology,2022-01-31,2022-08-29,2025-03-31T09:35:29
77,2022,TX077,Construction Group,Smart Building Inc,345000000,MANUFACTURING,APPROVED,1700,1850,150,Smart Building Technology,2022-04-11,2022-05-16,2025-04-01T12:18:52
78,2022,TX078,Healthcare Holdings,Digital Health Platform Corp,567000000,HEALTHCARE,APPROVED,1950,2100,150,Digital Health Platform Services,2022-06-19,2022-07-19,2025-04-02T14:54:15
79,2022,TX079,Telecom Corporation,Fiber Optic Networks Inc,789000000,TELECOMMUNICATIONS,APPROVED,2000,2180,180,Fiber Optic Network Services,2022-08-28,2022-10-02,2025-04-03T16:37:38
80,2022,TX080,Energy Holdings,Battery Technology LLC,445000000,ENERGY,APPROVED,1650,1800,150,Battery Technology Manufacturing,2022-11-06,2022-12-06,2025-04-04T08:29:21
81,2023,TX081,Agricultural Corporation,Precision Farming Inc,234000000,AGRICULTURE,APPROVED,1750,1880,130,Precision Farming Technology,2023-01-15,2023-02-15,2025-04-05T11:42:44
82,2023,TX082,Manufacturing Holdings,3D Printing Systems Corp,567000000,MANUFACTURING,APPROVED,1850,2000,150,3D Printing Systems Manufacturing,2023-03-25,2023-04-29,2025-04-06T13:56:17
83,2023,TX083,Transportation Corp,Autonomous Vehicle LLC,1200000000,TECHNOLOGY,SECOND_REQUEST,2400,2850,450,Autonomous Vehicle Technology,2023-06-04,2023-12-01,2025-04-07T15:23:50
84,2023,TX084,Real Estate Group,PropTech Solutions Inc,345000000,REAL_ESTATE,APPROVED,1800,1930,130,Property Technology Solutions,2023-08-13,2023-09-13,2025-04-08T10:47:23
85,2023,TX085,Retail Corporation,Social Commerce Platform,789000000,RETAIL,APPROVED,2000,2180,180,Social Commerce Platform Services,2023-10-22,2023-11-26,2025-04-09T12:35:46
86,2024,TX086,Defense Holdings,Cybersecurity Operations Inc,567000000,DEFENSE,APPROVED,1750,1880,130,Cybersecurity Operations,2024-01-01,2024-02-01,2025-04-10T14:28:19
87,2024,TX087,Pharmaceutical Group,mRNA Technology Corp,2100000000,PHARMACEUTICALS,RESTRUCTURED,2500,3200,700,mRNA Technology Development,2024-03-10,2024-12-05,2025-04-11T16:19:42
88,2024,TX088,Technology Corporation,Edge Computing LLC,789000000,TECHNOLOGY,APPROVED,1950,2130,180,Edge Computing Solutions,2024-05-19,2024-06-19,2025-04-12T08:13:55
89,2024,TX089,Construction Holdings,Green Building Systems Inc,345000000,MANUFACTURING,APPROVED,1700,1850,150,Green Building Systems,2024-07-28,2024-09-01,2025-04-13T11:57:38
90,2024,TX090,Healthcare Corporation,AI Diagnostics Platform,567000000,HEALTHCARE,APPROVED,1850,2000,150,AI Diagnostics Technology,2024-10-06,2024-11-06,2025-04-14T13:44:21
91,2010,TX091,Biotech Holdings,Vaccine Research Inc,890000000,PHARMACEUTICALS,APPROVED,2100,2280,180,Vaccine Research and Development,2010-03-18,2010-04-18,2025-04-15T15:31:54
92,2010,TX092,Tech Consortium,Software Solutions LLC,167000000,TECHNOLOGY,APPROVED,1650,1780,130,Enterprise Software Solutions,2010-05-26,2010-06-26,2025-02-14T09:25:17
93,2010,TX093,Energy Alliance,Coal Mining Corp,445000000,ENERGY,APPROVED,1900,2080,180,Coal Mining Operations,2010-07-15,2010-08-19,2025-02-15T12:18:40
94,2010,TX094,Agricultural Group,Grain Processing Inc,234000000,AGRICULTURE,APPROVED,1750,1880,130,Grain Processing Services,2010-09-23,2010-10-23,2025-02-16T14:42:23
95,2010,TX095,Manufacturing Alliance,Steel Production LLC,567000000,MANUFACTURING,APPROVED,2000,2180,180,Steel Production Operations,2010-11-30,2011-01-04,2025-02-17T16:55:46
96,2011,TX096,Transport Corporation,Cargo Services Inc,345000000,TRANSPORTATION,APPROVED,1800,1950,150,Cargo Transportation Services,2011-02-07,2011-03-14,2025-02-18T08:37:29
97,2011,TX097,Real Estate Holdings,Shopping Center Corp,789000000,REAL_ESTATE,APPROVED,1950,2130,180,Shopping Center Real Estate,2011-04-16,2011-05-16,2025-02-19T11:24:52
98,2011,TX098,Retail Group,Grocery Chain Inc,567000000,RETAIL,APPROVED,2100,2280,180,Grocery Retail Services,2011-06-25,2011-07-25,2025-02-20T13:48:15
99,2011,TX099,Defense Corporation,Military Vehicles LLC,234000000,DEFENSE,APPROVED,1650,1780,130,Military Vehicle Manufacturing,2011-08-14,2011-09-18,2025-02-21T15:36:38
100,2011,TX100,Pharmaceutical Holdings,Drug Manufacturing Corp,1200000000,PHARMACEUTICALS,SECOND_REQUEST,2300,2800,500,Pharmaceutical Manufacturing,2011-10-23,2012-04-20,2025-02-22T10:29:51
101,2012,TX101,Technology Group,Database Systems Inc,345000000,TECHNOLOGY,APPROVED,1700,1850,150,Database Management Systems,2012-01-12,2012-02-12,2025-02-23T12:53:24
102,2012,TX102,Construction Corporation,Highway Builder LLC,567000000,MANUFACTURING,APPROVED,1850,2000,150,Highway Construction Services,2012-03-21,2012-04-25,2025-02-24T14:47:17
103,2012,TX103,Healthcare Holdings,Medical Equipment Inc,789000000,HEALTHCARE,APPROVED,2000,2180,180,Medical Equipment Manufacturing,2012-05-30,2012-06-30,2025-02-25T16:34:50
104,2012,TX104,Telecom Alliance,Satellite Communications Corp,445000000,TELECOMMUNICATIONS,APPROVED,1950,2100,150,Satellite Communications Services,2012-08-08,2012-09-12,2025-02-26T08:28:23
105,2012,TX105,Energy Holdings,Nuclear Power Inc,2800000000,ENERGY,CHALLENGED,2500,3300,800,Nuclear Power Generation,2012-10-16,2013-09-13,2025-02-27T11:41:46
106,2013,TX106,Agricultural Corporation,Dairy Operations LLC,234000000,AGRICULTURE,APPROVED,1750,1880,130,Dairy Operations and Processing,2013-01-05,2013-02-05,2025-02-28T13:26:19
107,2013,TX107,Manufacturing Group,Aerospace Components Inc,567000000,DEFENSE,APPROVED,1800,1950,150,Aerospace Components Manufacturing,2013-03-15,2013-04-19,2025-03-01T15:19:42
108,2013,TX108,Transportation Holdings,Maritime Shipping Corp,789000000,TRANSPORTATION,APPROVED,1950,2130,180,Maritime Shipping Services,2013-05-24,2013-06-24,2025-03-02T09:54:25
109,2013,TX109,Real Estate Corporation,Industrial Parks Inc,345000000,REAL_ESTATE,APPROVED,1700,1850,150,Industrial Real Estate Development,2013-08-02,2013-09-06,2025-03-03T12:37:48
110,2013,TX110,Retail Holdings,Electronics Chain LLC,567000000,RETAIL,APPROVED,2000,2180,180,Electronics Retail Services,2013-10-11,2013-11-11,2025-03-04T14:52:31
111,2014,TX111,Defense Group,Naval Systems Corp,789000000,DEFENSE,APPROVED,1850,2000,150,Naval Systems Manufacturing,2014-01-20,2014-02-24,2025-03-05T16:45:54
112,2014,TX112,Pharmaceutical Corporation,Specialty Drugs Inc,1800000000,PHARMACEUTICALS,SECOND_REQUEST,2400,2900,500,Specialty Pharmaceutical Manufacturing,2014-03-30,2014-09-26,2025-03-06T08:39:17
113,2014,TX113,Technology Holdings,Artificial Intelligence LLC,445000000,TECHNOLOGY,APPROVED,1750,1900,150,Artificial Intelligence Technology,2014-06-08,2014-07-08,2025-03-07T11:23:50
114,2014,TX114,Construction Alliance,Residential Builder Inc,234000000,MANUFACTURING,APPROVED,1650,1780,130,Residential Construction Services,2014-08-17,2014-09-21,2025-03-08T13:17:23
115,2014,TX115,Healthcare Group,Pharmaceutical Distribution Corp,567000000,HEALTHCARE,APPROVED,1950,2100,150,Pharmaceutical Distribution Services,2014-10-26,2014-11-26,2025-03-09T15:41:46
