filing_id,fiscal_year,transaction_id,acquiring_party,target_party,transaction_value,filing_date,industry_naics_code,industry_description,filing_fee,review_status,review_days,_ingested_at
1,2023,TX001,MegaCorp Industries,TechStart LLC,150000000,2023-01-15,541511,Computer Systems Design Services,125000,GRANTED_ET,30,2025-01-15T10:15:30
2,2023,TX002,HealthSystem Partners,Regional Medical Group,85000000,2023-02-08,622110,General Medical and Surgical Hospitals,45000,SECOND_REQUEST,180,2025-01-16T14:22:11
3,2023,TX003,Energy Dynamics Corp,Solar Solutions Inc,320000000,2023-03-12,221114,Solar Electric Power Generation,280000,GRANTED_ET,25,2025-01-17T09:45:22
4,2023,TX004,Global Pharmaceuticals,BioTech Innovations,2100000000,2023-04-20,325412,Pharmaceutical Preparation Manufacturing,400000,CHALLENGED,365,2025-01-18T16:33:45
5,2023,TX005,Financial Holdings LLC,Community Bank Corp,67000000,2023-05-18,522110,Commercial Banking,30000,GRANTED_ET,28,2025-01-19T11:18:56
6,2023,TX006,AgriCorp International,Local Farm Co-op,45000000,2023-06-25,111140,Wheat Farming,30000,GRANTED_ET,22,2025-01-20T13:40:33
7,2023,TX007,Manufacturing Giant,Industrial Parts Inc,180000000,2023-07-30,332710,Machine Shops,125000,SECOND_REQUEST,120,2025-01-21T08:55:17
8,2023,TX008,Transport Holdings,Regional Logistics,95000000,2023-08-15,484110,General Freight Trucking Local,45000,GRANTED_ET,35,2025-01-22T15:27:44
9,2023,TX009,Real Estate Development,Property Management Group,76000000,2023-09-22,531210,Offices of Real Estate Agents and Brokers,45000,ABANDONED,45,2025-01-23T12:08:29
10,2024,TX010,RetailChain Corp,E-commerce Startup,890000000,2024-01-10,454110,Electronic Shopping and Mail-Order Houses,400000,CONSENTED,240,2025-01-24T17:41:58
11,2024,TX011,Defense Contractor Inc,Aerospace Components Ltd,340000000,2024-02-18,336411,Aircraft Manufacturing,280000,GRANTED_ET,30,2025-01-25T14:33:21
12,2024,TX012,TeleCommunications Corp,Wireless Provider Inc,1200000000,2024-03-25,517312,Wireless Telecommunications Carriers,400000,SECOND_REQUEST,210,2025-01-26T10:22:15
13,2024,TX013,Chemical Industries,Specialty Materials Co,155000000,2024-04-12,325199,All Other Basic Organic Chemical Manufacturing,125000,GRANTED_ET,27,2025-01-27T16:19:42
14,2024,TX014,Media Conglomerate,Streaming Platform Inc,675000000,2024-05-20,515210,Cable and Other Subscription Programming,400000,RESTRUCTURED,180,2025-01-28T11:45:33
15,2024,TX015,Insurance Holdings,Regional Insurance Co,98000000,2024-06-14,524113,Direct Life Insurance Carriers,45000,GRANTED_ET,33,2025-01-29T13:52:17
16,2010,TX016,TechGiant Corp,StartupSoft Inc,120000000,2010-02-14,541511,Computer Systems Design Services,125000,GRANTED_ET,30,2025-01-30T09:33:22
17,2010,TX017,HealthSystem Inc,Rural Clinic Network,58000000,2010-04-08,622110,General Medical and Surgical Hospitals,30000,GRANTED_ET,25,2025-01-31T11:47:15
18,2010,TX018,Oil & Gas Corp,Shale Exploration LLC,780000000,2010-06-22,211111,Crude Petroleum and Natural Gas Extraction,400000,SECOND_REQUEST,150,2025-02-01T15:18:44
19,2010,TX019,PharmaCorp Holdings,Research Labs Inc,2800000000,2010-08-15,325412,Pharmaceutical Preparation Manufacturing,400000,CHALLENGED,300,2025-02-02T13:29:57
20,2010,TX020,Banking Consortium,Local Credit Union,42000000,2010-10-30,522110,Commercial Banking,30000,GRANTED_ET,28,2025-02-03T10:41:33
21,2011,TX021,AgriTech Systems,Farm Equipment Co,95000000,2011-01-18,333111,Farm Machinery and Equipment Manufacturing,45000,GRANTED_ET,30,2025-02-04T14:55:28
22,2011,TX022,Manufacturing Corp,Steel Processing Inc,230000000,2011-03-24,331110,Iron and Steel Mills and Ferroalloy Manufacturing,280000,GRANTED_ET,35,2025-02-05T12:22:15
23,2011,TX023,Logistics Networks,Transport Solutions LLC,87000000,2011-05-16,484110,General Freight Trucking Local,45000,GRANTED_ET,30,2025-02-06T16:44:37
24,2011,TX024,Property Holdings,Commercial Real Estate Corp,65000000,2011-07-12,531210,Offices of Real Estate Agents and Brokers,45000,ABANDONED,50,2025-02-07T08:17:29
25,2011,TX025,Retail Conglomerate,Department Store Chain,420000000,2011-09-28,452111,Department Stores,400000,GRANTED_ET,30,2025-02-08T11:35:51
26,2012,TX026,Defense Systems Inc,Military Contractor LLC,155000000,2012-02-05,336411,Aircraft Manufacturing,125000,GRANTED_ET,35,2025-02-09T13:48:14
27,2012,TX027,BioPharma Holdings,Generic Drug Manufacturer,1800000000,2012-04-12,325412,Pharmaceutical Preparation Manufacturing,400000,SECOND_REQUEST,180,2025-02-10T15:26:33
28,2012,TX028,Technology Solutions,Software Development Inc,98000000,2012-06-20,541511,Computer Systems Design Services,45000,GRANTED_ET,30,2025-02-11T09:19:45
