customer_id,customer_name,customer_segment,country,region,signup_date
C00001,Customer 1,Consumer,CA,North America,2021-07-17
C00002,Customer 2,Corporate,DE,Europe,2020-10-12
C00003,Customer 3,Consumer,CA,North America,2023-04-24
C00004,Customer 4,Consumer,AU,APAC,2020-03-02
C00005,Customer 5,Corporate,CA,North America,2021-04-21
C00006,Customer 6,Corporate,US,North America,2023-08-23
C00007,Customer 7,Corporate,AU,APAC,2022-07-08
C00008,Customer 8,Consumer,FR,Europe,2020-11-22
C00009,Customer 9,SMB,AU,APAC,2021-07-23
C00010,Customer 10,Corporate,UK,Europe,2021-11-20
C00011,Customer 11,Consumer,CA,North America,2022-02-17
C00012,Customer 12,SMB,CA,North America,2021-12-05
C00013,Customer 13,Consumer,FR,Europe,2022-07-29
C00014,Customer 14,Enterprise,CA,North America,2020-06-10
C00015,Customer 15,SMB,FR,Europe,2023-03-28
C00016,Customer 16,Consumer,DE,Europe,2020-04-03
C00017,Customer 17,SMB,DE,Europe,2020-06-12
C00018,Customer 18,Consumer,DE,Europe,2022-02-17
C00019,Customer 19,Enterprise,FR,Europe,2023-07-25
C00020,Customer 20,Corporate,JP,APAC,2022-01-28
C00021,Customer 21,Corporate,JP,APAC,2023-10-04
C00022,Customer 22,Consumer,FR,Europe,2023-06-01
C00023,Customer 23,Corporate,UK,Europe,2020-11-30
C00024,Customer 24,Enterprise,BR,LATAM,2021-07-06
C00025,Customer 25,SMB,DE,Europe,2020-04-24
C00026,Customer 26,Consumer,DE,Europe,2021-10-08
C00027,Customer 27,SMB,AU,APAC,2020-05-15
C00028,Customer 28,SMB,DE,Europe,2021-03-11
C00029,Customer 29,Enterprise,BR,LATAM,2023-08-09
C00030,Customer 30,Corporate,BR,LATAM,2021-06-26
C00031,Customer 31,Corporate,UK,Europe,2023-02-23
C00032,Customer 32,Enterprise,FR,Europe,2023-04-10
C00033,Customer 33,SMB,AU,APAC,2021-03-25
C00034,Customer 34,Enterprise,UK,Europe,2020-07-05
C00035,Customer 35,Consumer,US,North America,2020-11-09
C00036,Customer 36,Enterprise,UK,Europe,2023-05-06
C00037,Customer 37,Enterprise,CA,North America,2022-02-20
C00038,Customer 38,SMB,BR,LATAM,2023-02-07
C00039,Customer 39,Consumer,US,North America,2023-10-28
C00040,Customer 40,SMB,FR,Europe,2020-08-16
C00041,Customer 41,Enterprise,FR,Europe,2020-11-19
C00042,Customer 42,Consumer,BR,LATAM,2021-06-23
C00043,Customer 43,Consumer,UK,Europe,2023-07-04
C00044,Customer 44,Corporate,FR,Europe,2020-11-09
C00045,Customer 45,Corporate,JP,APAC,2023-01-09
C00046,Customer 46,SMB,US,North America,2022-09-27
C00047,Customer 47,Consumer,US,North America,2022-01-13
C00048,Customer 48,Corporate,FR,Europe,2020-04-28
C00049,Customer 49,Consumer,DE,Europe,2020-06-24
C00050,Customer 50,Consumer,BR,LATAM,2022-12-26
C00051,Customer 51,Corporate,UK,Europe,2023-09-13
C00052,Customer 52,Corporate,BR,LATAM,2021-06-26
C00053,Customer 53,Corporate,AU,APAC,2023-01-09
C00054,Customer 54,SMB,DE,Europe,2022-03-28
C00055,Customer 55,Enterprise,JP,APAC,2022-11-25
C00056,Customer 56,Consumer,BR,LATAM,2021-05-22
C00057,Customer 57,Consumer,DE,Europe,2021-11-23
C00058,Customer 58,Corporate,US,North America,2023-04-20
C00059,Customer 59,Consumer,DE,Europe,2020-05-25
C00060,Customer 60,Corporate,US,North America,2020-05-18
C00061,Customer 61,SMB,US,North America,2020-05-25
C00062,Customer 62,SMB,DE,Europe,2023-10-02
C00063,Customer 63,Corporate,BR,LATAM,2023-01-09
C00064,Customer 64,Enterprise,UK,Europe,2021-05-12
C00065,Customer 65,Enterprise,BR,LATAM,2021-01-24
C00066,Customer 66,Consumer,CA,North America,2023-09-11
C00067,Customer 67,SMB,AU,APAC,2022-05-17
C00068,Customer 68,Enterprise,AU,APAC,2020-04-20
C00069,Customer 69,Consumer,CA,North America,2022-04-04
C00070,Customer 70,Consumer,JP,APAC,2021-05-24
C00071,Customer 71,Corporate,DE,Europe,2023-01-03
C00072,Customer 72,Corporate,BR,LATAM,2022-05-14
C00073,Customer 73,SMB,UK,Europe,2022-08-05
C00074,Customer 74,Consumer,DE,Europe,2022-06-26
C00075,Customer 75,Consumer,CA,North America,2023-08-28
C00076,Customer 76,Consumer,US,North America,2021-04-29
C00077,Customer 77,Enterprise,UK,Europe,2022-09-21
C00078,Customer 78,Corporate,BR,LATAM,2022-04-01
C00079,Customer 79,Corporate,US,North America,2022-02-15
C00080,Customer 80,Enterprise,US,North America,2021-06-27
C00081,Customer 81,SMB,BR,LATAM,2022-05-16
C00082,Customer 82,Corporate,BR,LATAM,2021-01-23
C00083,Customer 83,Corporate,FR,Europe,2020-04-29
C00084,Customer 84,SMB,US,North America,2020-04-27
C00085,Customer 85,Enterprise,US,North America,2022-10-26
C00086,Customer 86,Consumer,UK,Europe,2022-11-06
C00087,Customer 87,Corporate,CA,North America,2020-05-20
C00088,Customer 88,Corporate,CA,North America,2022-04-06
C00089,Customer 89,Corporate,CA,North America,2023-03-31
C00090,Customer 90,Consumer,US,North America,2022-05-08
C00091,Customer 91,SMB,JP,APAC,2021-02-22
C00092,Customer 92,Corporate,JP,APAC,2021-06-27
C00093,Customer 93,Corporate,AU,APAC,2023-10-07
C00094,Customer 94,Enterprise,FR,Europe,2021-10-09
C00095,Customer 95,Consumer,CA,North America,2022-07-27
C00096,Customer 96,Consumer,CA,North America,2023-01-06
C00097,Customer 97,SMB,DE,Europe,2020-09-28
C00098,Customer 98,Consumer,JP,APAC,2021-05-15
C00099,Customer 99,SMB,JP,APAC,2020-11-19
C00100,Customer 100,SMB,BR,LATAM,2023-06-06
C00101,Customer 101,SMB,US,North America,2023-09-20
C00102,Customer 102,Corporate,CA,North America,2021-06-25
C00103,Customer 103,Consumer,CA,North America,2023-02-07
C00104,Customer 104,SMB,UK,Europe,2021-07-31
C00105,Customer 105,SMB,DE,Europe,2021-02-20
C00106,Customer 106,Enterprise,FR,Europe,2021-05-29
C00107,Customer 107,Consumer,US,North America,2023-07-23
C00108,Customer 108,SMB,AU,APAC,2020-03-31
C00109,Customer 109,SMB,US,North America,2020-09-24
C00110,Customer 110,Corporate,FR,Europe,2022-06-23
C00111,Customer 111,Consumer,AU,APAC,2020-08-17
C00112,Customer 112,Corporate,CA,North America,2023-01-22
C00113,Customer 113,SMB,US,North America,2023-04-07
C00114,Customer 114,Enterprise,UK,Europe,2020-09-18
C00115,Customer 115,SMB,US,North America,2022-01-16
C00116,Customer 116,SMB,US,North America,2021-03-06
C00117,Customer 117,Consumer,DE,Europe,2021-12-25
C00118,Customer 118,Corporate,AU,APAC,2021-04-29
C00119,Customer 119,Corporate,UK,Europe,2022-04-24
C00120,Customer 120,Corporate,US,North America,2021-11-11
C00121,Customer 121,Corporate,AU,APAC,2021-06-30
C00122,Customer 122,Consumer,UK,Europe,2022-02-22
C00123,Customer 123,Enterprise,US,North America,2021-03-31
C00124,Customer 124,Enterprise,DE,Europe,2021-12-17
C00125,Customer 125,Corporate,FR,Europe,2021-04-01
C00126,Customer 126,Corporate,US,North America,2022-03-27
C00127,Customer 127,SMB,JP,APAC,2020-05-22
C00128,Customer 128,SMB,FR,Europe,2023-08-06
C00129,Customer 129,SMB,AU,APAC,2020-02-26
C00130,Customer 130,SMB,CA,North America,2020-12-31
C00131,Customer 131,Consumer,FR,Europe,2020-08-10
C00132,Customer 132,SMB,AU,APAC,2021-10-04
C00133,Customer 133,Consumer,AU,APAC,2022-02-27
C00134,Customer 134,SMB,DE,Europe,2020-03-31
C00135,Customer 135,Consumer,AU,APAC,2022-11-30
C00136,Customer 136,SMB,DE,Europe,2022-06-02
C00137,Customer 137,SMB,CA,North America,2023-06-30
C00138,Customer 138,Consumer,JP,APAC,2021-09-07
C00139,Customer 139,Enterprise,FR,Europe,2021-10-30
C00140,Customer 140,SMB,AU,APAC,2023-02-09
C00141,Customer 141,Corporate,UK,Europe,2022-05-11
C00142,Customer 142,Corporate,AU,APAC,2023-06-14
