order_id,order_date,customer_id,customer_name,customer_segment,country,region,product_id,product_name,category,channel,quantity,unit_price,discount_pct,extended_amount
ORD-200001,2026-01-01,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Phone,5,189.00,0.0000,945.00
ORD-200002,2026-01-01,CUST-0701,Stark Manufacturing,Enterprise,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Web,1,179.00,0.0000,179.00
ORD-200003,2026-01-01,CUST-0017,Acme Industrial Holdings,Enterprise,United States,AMER,SKU-9999,"Workstation Laptop Pro",Computers,Partner,1,2499.00,0.1500,2124.15
ORD-200004,2026-01-02,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9214,"27" 4K UHD Monitor",Displays,Retail,2,129.00,0.0000,258.00
ORD-200005,2026-01-02,CUST-0591,Umbrella Health,Enterprise,United Kingdom,EMEA,SKU-9101,"USB-C Hub Pro",Peripherals,Phone,5,19.95,0.1000,89.78
ORD-200006,2026-01-02,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9555,"Studio Microphone X",Audio,Retail,6,899.00,0.0000,5394.00
ORD-200007,2026-01-03,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9420,"Noise-Cancel Headset",Audio,Web,2,179.00,0.0000,358.00
ORD-200008,2026-01-03,CUST-0322,Hooli Pte Ltd,Enterprise,Singapore,APAC,SKU-9301,"Wireless Mouse Lite",Peripherals,Retail,3,24.50,0.0000,73.50
ORD-200009,2026-01-03,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Partner,3,179.00,0.0000,537.00
ORD-200010,2026-01-03,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9555,"Studio Microphone X",Audio,Web,3,899.00,0.0000,2697.00
ORD-200011,2026-01-03,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9610,"Webcam 1080p",Peripherals,Phone,1,59.00,0.0000,59.00
ORD-200012,2026-01-04,CUST-0204,Initech LLC,SMB,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Retail,3,19.95,0.0000,59.85
ORD-200013,2026-01-04,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9555,"Studio Microphone X",Audio,Web,5,899.00,0.0000,4495.00
ORD-200014,2026-01-04,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Partner,6,49.99,0.1000,269.95
ORD-200015,2026-01-04,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9810,"Portable SSD 2TB",Storage,Web,4,189.00,0.0500,718.20
ORD-200016,2026-01-05,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Web,1,59.00,0.0000,59.00
ORD-200017,2026-01-05,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9214,"27" 4K UHD Monitor",Displays,Partner,2,129.00,0.0500,245.10
ORD-200018,2026-01-05,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9999,"Workstation Laptop Pro",Computers,Partner,4,2499.00,0.0000,9996.00
ORD-200019,2026-01-05,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9810,"Portable SSD 2TB",Storage,Partner,5,189.00,0.0000,945.00
ORD-200020,2026-01-05,CUST-0633,Wayne Logistics,Enterprise,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Retail,5,49.99,0.1500,212.46
ORD-200021,2026-01-05,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9001,"Mechanical Keyboard MK-1",Peripherals,Retail,6,49.99,0.0000,299.94
ORD-200022,2026-01-06,CUST-0815,Wonka Confectionery,SMB,Germany,EMEA,SKU-9301,"Wireless Mouse Lite",Peripherals,Web,3,24.50,0.0500,69.83
ORD-200023,2026-01-06,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9555,"Studio Microphone X",Audio,Phone,2,899.00,0.0000,1798.00
ORD-200024,2026-01-06,CUST-0103,Globex SA,SMB,France,EMEA,SKU-9610,"Webcam 1080p",Peripherals,Retail,1,59.00,0.1000,53.10
ORD-200025,2026-01-07,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9101,"USB-C Hub Pro",Peripherals,Web,4,19.95,0.1500,67.83
ORD-200026,2026-01-07,CUST-0480,Pied Piper Inc.,SMB,United States,AMER,SKU-9420,"Noise-Cancel Headset",Audio,Web,4,179.00,0.1500,608.60
