event_id,episode_id,event_type,begin_date,end_date,begin_time,end_time,state,state_fips,cz_name,cz_type,cz_fips,begin_lat,begin_lon,end_lat,end_lon,magnitude,magnitude_type,injuries_direct,injuries_indirect,deaths_direct,deaths_indirect,damage_property,damage_crops,source,tor_f_scale,tor_length,tor_width,flood_cause,event_narrative,episode_narrative,load_time
10001,5001,Tornado,2023-03-15,2023-03-15,1430,1445,OKLAHOMA,40,CANADIAN,C,017,35.4721,-97.9534,35.5012,-97.8890,125,EG,3,0,0,0,250K,50K,Trained Spotter,EF2,4.2,200,,Tornado touched down in rural area west of El Reno causing damage to farm structures and power lines.,Severe thunderstorm outbreak across central Oklahoma.,2023-03-16 06:00:00
10002,5001,Thunderstorm Wind,2023-03-15,2023-03-15,1500,1515,OKLAHOMA,40,OKLAHOMA,C,109,35.4680,-97.5200,,,70,MG,0,0,0,0,25K,0,ASOS,,,,,Strong thunderstorm winds caused tree damage in Oklahoma City metro area.,Severe thunderstorm outbreak across central Oklahoma.,2023-03-16 06:00:00
10003,5001,Hail,2023-03-15,2023-03-15,1445,1500,OKLAHOMA,40,CLEVELAND,C,027,35.2100,-97.4400,,,2.00,MTS,0,0,0,0,500K,0,Public,,,,,Baseball-size hail reported in Norman causing extensive vehicle and roof damage.,Severe thunderstorm outbreak across central Oklahoma.,2023-03-16 06:00:00
10004,5002,Flash Flood,2023-04-10,2023-04-10,2030,2330,TEXAS,48,HARRIS,C,201,29.7604,-95.3698,29.7200,-95.3100,,,0,0,2,0,5.0M,0,Emergency Manager,,,,Heavy Rain,Flash flooding in Houston metro area after 6 inches of rain in 3 hours. Two drowning fatalities.,Stalled frontal boundary produced training thunderstorms over southeast Texas.,2023-04-11 06:00:00
10005,5002,Flash Flood,2023-04-10,2023-04-11,2100,0200,TEXAS,48,FORT BEND,C,157,29.5800,-95.7700,,,,,0,0,0,0,2.5M,100K,Law Enforcement,,,,Heavy Rain,Flash flooding in Sugar Land area required multiple water rescues.,Stalled frontal boundary produced training thunderstorms over southeast Texas.,2023-04-11 06:00:00
10006,5003,Tornado,2023-05-22,2023-05-22,1715,1740,MISSISSIPPI,28,HINDS,C,049,32.3547,-90.1748,32.4012,-90.1200,150,EG,12,2,1,0,10.0M,2.0M,NWS Storm Survey,EF3,6.8,400,,Violent tornado struck southern Jackson suburbs with significant structural damage. One fatality.,Major severe weather event across the Deep South with multiple tornadoes.,2023-05-23 06:00:00
10007,5003,Tornado,2023-05-22,2023-05-22,1800,1810,MISSISSIPPI,28,RANKIN,C,121,32.3300,-89.9800,32.3500,-89.9500,95,EG,1,0,0,0,1.5M,500K,NWS Storm Survey,EF1,2.1,150,,Brief tornado in rural Rankin County damaging several homes and barns.,Major severe weather event across the Deep South with multiple tornadoes.,2023-05-23 06:00:00
10008,5004,Winter Storm,2023-01-25,2023-01-27,,,,MASSACHUSETTS,25,SUFFOLK,Z,025,42.3601,-71.0589,,,,,0,0,0,0,0,0,NWS Observation,,,,,,"Major nor'easter brought 18-24 inches of snow to the Boston metro with sustained winds of 40 mph.",Winter storm impacted the entire Northeast corridor.,2023-01-28 06:00:00
10009,5004,Winter Storm,2023-01-25,2023-01-27,,,,NEW YORK,36,NEW YORK (MANHATTAN),Z,072,40.7580,-73.9855,,,,,0,0,0,1,0,0,NWS Observation,,,,,,"Heavy snow accumulation of 12-18 inches in Manhattan with blizzard conditions. One indirect fatality from heart attack during snow shoveling.",Winter storm impacted the entire Northeast corridor.,2023-01-28 06:00:00
10010,5005,Hurricane,2023-08-20,2023-08-22,,,,FLORIDA,12,MIAMI-DADE,C,086,25.7617,-80.1918,,,130,KT,45,12,3,2,1.5B,500M,HURDAT,,,,Storm Surge/Tide,"Category 4 hurricane made landfall in Miami-Dade with catastrophic storm surge and wind damage.",Major hurricane impacted South Florida coast.,2023-08-23 06:00:00
10011,5005,Storm Surge/Tide,2023-08-20,2023-08-22,,,,FLORIDA,12,BROWARD,C,011,26.1224,-80.1373,,,,,5,0,1,0,750M,0,Tide Gauge,,,,Storm Surge/Tide,Storm surge of 8-12 feet inundated coastal areas of Fort Lauderdale.,Major hurricane impacted South Florida coast.,2023-08-23 06:00:00
10012,5006,Excessive Heat,2023-07-15,2023-07-20,,,,ARIZONA,04,MARICOPA,C,013,33.4484,-112.0740,,,,,15,25,8,3,0,0,NWS Observation,,,,,"Extended excessive heat event with temperatures exceeding 115F for 6 consecutive days in Phoenix. Multiple heat-related fatalities.",Record-breaking heat dome settled over the Desert Southwest.,2023-07-21 06:00:00
10013,5006,Excessive Heat,2023-07-15,2023-07-19,,,,NEVADA,32,CLARK,C,003,36.1699,-115.1398,,,,,8,10,2,1,0,0,NWS Observation,,,,,"Las Vegas reached 117F with widespread heat illness. Two direct fatalities among outdoor workers.",Record-breaking heat dome settled over the Desert Southwest.,2023-07-21 06:00:00
10014,5007,Flood,2023-06-05,2023-06-08,,,,IOWA,19,DES MOINES,C,057,40.8120,-91.1180,,,,,0,0,0,0,1.0M,5.0M,River Gauge,,,,Heavy Rain,"Des Moines River exceeded flood stage by 4 feet causing agricultural damage.",Persistent upper-level low brought multiple rounds of heavy rain to the Upper Midwest.,2023-06-09 06:00:00
10015,5007,Flood,2023-06-05,2023-06-09,,,,ILLINOIS,17,ADAMS,C,001,39.9340,-91.4099,,,,,0,0,0,0,500K,2.0M,River Gauge,,,,Heavy Rain,Mississippi River flooding near Quincy with levee overtopping.,Persistent upper-level low brought multiple rounds of heavy rain to the Upper Midwest.,2023-06-09 06:00:00
10016,5008,Wildfire,2023-08-05,2023-08-15,,,,CALIFORNIA,06,LOS ANGELES,C,037,34.1500,-118.3300,34.2000,-118.2500,,,2,0,0,0,50.0M,0,CAL FIRE,,,,,"Wildfire burned 15000 acres in Angeles National Forest threatening hillside communities.",Hot dry conditions with Santa Ana winds fueled rapid fire growth.,2023-08-16 06:00:00
10017,5009,Tropical Storm,2023-09-10,2023-09-12,,,,NORTH CAROLINA,37,NEW HANOVER,C,129,34.2257,-77.9447,,,60,KT,2,0,0,0,25.0M,10.0M,NWS Observation,,,,,"Tropical storm brought 8-12 inches of rain and minor storm surge to Wilmington area.",Tropical system tracked along the Carolina coast.,2023-09-13 06:00:00
10018,5010,Ice Storm,2023-02-01,2023-02-02,,,,TENNESSEE,47,DAVIDSON,C,037,36.1627,-86.7816,,,,,0,0,0,0,5.0M,0,NWS Observation,,,,,"Ice accumulation of 0.5-1.0 inches caused widespread power outages and hazardous travel in Nashville.",Arctic air moved into the Mid-South behind a departing low pressure system.,2023-02-03 06:00:00
10019,5011,Debris Flow,2023-01-10,2023-01-10,0845,0945,CALIFORNIA,06,SANTA BARBARA,C,083,34.4200,-119.7100,,,,,1,0,0,0,2.0M,0,Emergency Manager,,,,Heavy Rain,"Mudslide on burn scar from previous wildfire damaged several homes in Montecito.",Atmospheric river event brought heavy rainfall to Southern California burn scars.,2023-01-11 06:00:00
10020,5012,Blizzard,2023-12-22,2023-12-24,,,,MINNESOTA,27,HENNEPIN,C,053,44.9778,-93.2650,,,,,0,0,0,0,0,0,NWS Observation,,,,,"Blizzard conditions with 24 inches of snow and winds gusting to 55 mph shut down Minneapolis for 48 hours.",Christmas blizzard impacted the Northern Plains and Upper Midwest.,2023-12-25 06:00:00
10021,5012,Blizzard,2023-12-22,2023-12-24,,,,WISCONSIN,55,MILWAUKEE,C,079,43.0389,-87.9065,,,,,0,0,0,1,0,0,NWS Observation,,,,,"Blizzard conditions with 18 inches of snow. One indirect fatality from traffic accident in whiteout conditions.",Christmas blizzard impacted the Northern Plains and Upper Midwest.,2023-12-25 06:00:00
10022,5013,Drought,2023-06-01,2023-09-30,,,,KANSAS,20,FINNEY,C,055,37.9717,-100.8727,,,,,0,0,0,0,0,50.0M,US Drought Monitor,,,,,"Exceptional drought conditions (D4) persisted across southwest Kansas devastating winter wheat and cattle operations.",Long-duration drought event across the Central Plains.,2023-10-01 06:00:00
10023,5014,Tornado,2023-06-18,2023-06-18,1900,1915,ALABAMA,01,TUSCALOOSA,C,125,33.2098,-87.5692,33.2400,-87.5200,110,EG,5,0,0,0,3.0M,200K,NWS Storm Survey,EF2,3.5,250,,Tornado struck west Tuscaloosa damaging commercial buildings and residences.,Supercell thunderstorms developed along outflow boundary in west-central Alabama.,2023-06-19 06:00:00
10024,5015,Dense Fog,2023-11-15,2023-11-15,0500,1000,LOUISIANA,22,EAST BATON ROUGE,C,033,30.4515,-91.1871,,,,,0,0,0,2,0,0,NWS Observation,,,,,"Dense fog with visibility below 200 feet caused multi-vehicle pileup on I-10. Two indirect fatalities.",Radiational cooling and moist Gulf air produced widespread dense fog.,2023-11-15 12:00:00
10025,5016,Thunderstorm Wind,2023-04-25,2023-04-25,1630,1645,GEORGIA,13,FULTON,C,121,33.7490,-84.3880,,,80,MG,0,0,0,0,100K,0,Mesonet,,,,,Strong downburst caused tree damage in midtown Atlanta area. Multiple trees downed blocking roads.,Severe thunderstorms developed ahead of cold front across the Southeast.,2023-04-26 06:00:00
